NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
ZCTA5 84306,8600000US84306,71806,67178,ZCTA5 84306,,,84306
ZCTA5 84775,8600000US84775,-666666666,-222222222,ZCTA5 84775,-,**,84775
ZCTA5 84762,8600000US84762,-666666666,-222222222,ZCTA5 84762,-,**,84762
ZCTA5 84772,8600000US84772,33958,23985,ZCTA5 84772,,,84772
ZCTA5 84781,8600000US84781,48000,12538,ZCTA5 84781,,,84781
ZCTA5 84511,8600000US84511,56377,10319,ZCTA5 84511,,,84511
ZCTA5 84513,8600000US84513,47500,9152,ZCTA5 84513,,,84513
ZCTA5 84516,8600000US84516,53750,18884,ZCTA5 84516,,,84516
ZCTA5 84522,8600000US84522,42813,19724,ZCTA5 84522,,,84522
ZCTA5 84532,8600000US84532,46848,5151,ZCTA5 84532,,,84532
ZCTA5 84601,8600000US84601,44436,3480,ZCTA5 84601,,,84601
ZCTA5 84620,8600000US84620,64688,17449,ZCTA5 84620,,,84620
ZCTA5 84628,8600000US84628,47500,17379,ZCTA5 84628,,,84628
ZCTA5 84629,8600000US84629,68113,8184,ZCTA5 84629,,,84629
ZCTA5 84630,8600000US84630,52113,19690,ZCTA5 84630,,,84630
ZCTA5 84634,8600000US84634,60417,10066,ZCTA5 84634,,,84634
ZCTA5 84647,8600000US84647,42070,8094,ZCTA5 84647,,,84647
ZCTA5 84663,8600000US84663,63922,2817,ZCTA5 84663,,,84663
ZCTA5 84710,8600000US84710,46250,28155,ZCTA5 84710,,,84710
ZCTA5 84004,8600000US84004,113807,15471,ZCTA5 84004,,,84004
ZCTA5 84529,8600000US84529,-666666666,-222222222,ZCTA5 84529,-,**,84529
ZCTA5 84531,8600000US84531,23542,6541,ZCTA5 84531,,,84531
ZCTA5 84536,8600000US84536,22837,3285,ZCTA5 84536,,,84536
ZCTA5 93249,8600000US93249,34464,3433,ZCTA5 93249,,,93249
ZCTA5 93252,8600000US93252,33611,7847,ZCTA5 93252,,,93252
ZCTA5 93270,8600000US93270,38322,11683,ZCTA5 93270,,,93270
ZCTA5 93291,8600000US93291,51054,6383,ZCTA5 93291,,,93291
ZCTA5 93304,8600000US93304,36388,1896,ZCTA5 93304,,,93304
ZCTA5 93306,8600000US93306,52512,2660,ZCTA5 93306,,,93306
ZCTA5 93307,8600000US93307,36886,2088,ZCTA5 93307,,,93307
ZCTA5 93420,8600000US93420,77887,4777,ZCTA5 93420,,,93420
ZCTA5 93454,8600000US93454,57573,4578,ZCTA5 93454,,,93454
ZCTA5 93458,8600000US93458,49426,3418,ZCTA5 93458,,,93458
ZCTA5 93461,8600000US93461,58214,8530,ZCTA5 93461,,,93461
ZCTA5 93536,8600000US93536,72634,2790,ZCTA5 93536,,,93536
ZCTA5 93546,8600000US93546,63848,11513,ZCTA5 93546,,,93546
ZCTA5 93591,8600000US93591,44487,2624,ZCTA5 93591,,,93591
ZCTA5 93609,8600000US93609,44068,7725,ZCTA5 93609,,,93609
ZCTA5 93616,8600000US93616,31448,1508,ZCTA5 93616,,,93616
ZCTA5 93618,8600000US93618,41003,2957,ZCTA5 93618,,,93618
ZCTA5 93626,8600000US93626,83958,24877,ZCTA5 93626,,,93626
ZCTA5 93501,8600000US93501,33768,6545,ZCTA5 93501,,,93501
ZCTA5 90029,8600000US90029,37379,2908,ZCTA5 90029,,,90029
ZCTA5 90010,8600000US90010,47115,12569,ZCTA5 90010,,,90010
ZCTA5 90024,8600000US90024,59418,5266,ZCTA5 90024,,,90024
ZCTA5 90025,8600000US90025,78713,3947,ZCTA5 90025,,,90025
ZCTA5 90201,8600000US90201,39498,1232,ZCTA5 90201,,,90201
ZCTA5 90031,8600000US90031,41126,2897,ZCTA5 90031,,,90031
ZCTA5 90035,8600000US90035,76677,4834,ZCTA5 90035,,,90035
ZCTA5 90063,8600000US90063,44121,1811,ZCTA5 90063,,,90063
ZCTA5 90242,8600000US90242,62402,2660,ZCTA5 90242,,,90242
ZCTA5 90620,8600000US90620,84942,3722,ZCTA5 90620,,,90620
ZCTA5 90623,8600000US90623,91131,5076,ZCTA5 90623,,,90623
ZCTA5 90630,8600000US90630,90165,4322,ZCTA5 90630,,,90630
ZCTA5 90713,8600000US90713,94110,4845,ZCTA5 90713,,,90713
ZCTA5 90715,8600000US90715,69905,6739,ZCTA5 90715,,,90715
ZCTA5 90716,8600000US90716,38500,5103,ZCTA5 90716,,,90716
ZCTA5 90717,8600000US90717,61077,4712,ZCTA5 90717,,,90717
ZCTA5 90731,8600000US90731,49464,2150,ZCTA5 90731,,,90731
ZCTA5 90744,8600000US90744,43284,2618,ZCTA5 90744,,,90744
