NAME,GEO_ID,B19013_001E,B19013_001M,NAME,B19013_001EA,B19013_001MA,zip code tabulation area
84306,8600000US84306,71806,67178,84306,null,null,84306
84775,8600000US84775,-666666666,-222222222,84775,-,**,84775
84762,8600000US84762,-666666666,-222222222,84762,-,**,84762
84772,8600000US84772,33958,23985,84772,null,null,84772
84781,8600000US84781,48000,12538,84781,null,null,84781
84511,8600000US84511,56377,10319,84511,null,null,84511
84513,8600000US84513,47500,9152,84513,null,null,84513
84516,8600000US84516,53750,18884,84516,null,null,84516
84522,8600000US84522,42813,19724,84522,null,null,84522
84532,8600000US84532,46848,5151,84532,null,null,84532
84601,8600000US84601,44436,3480,84601,null,null,84601
84620,8600000US84620,64688,17449,84620,null,null,84620
84628,8600000US84628,47500,17379,84628,null,null,84628
84629,8600000US84629,68113,8184,84629,null,null,84629
84630,8600000US84630,52113,19690,84630,null,null,84630
84634,8600000US84634,60417,10066,84634,null,null,84634
84647,8600000US84647,42070,8094,84647,null,null,84647
84663,8600000US84663,63922,2817,84663,null,null,84663
84710,8600000US84710,46250,28155,84710,null,null,84710
84004,8600000US84004,113807,15471,84004,null,null,84004
84529,8600000US84529,-666666666,-222222222,84529,-,**,84529
84531,8600000US84531,23542,6541,84531,null,null,84531
84536,8600000US84536,22837,3285,84536,null,null,84536
93249,8600000US93249,34464,3433,93249,null,null,93249
93252,8600000US93252,33611,7847,93252,null,null,93252
93270,8600000US93270,38322,11683,93270,null,null,93270
93291,8600000US93291,51054,6383,93291,null,null,93291
93304,8600000US93304,36388,1896,93304,null,null,93304
93306,8600000US93306,52512,2660,93306,null,null,93306
93307,8600000US93307,36886,2088,93307,null,null,93307
93420,8600000US93420,77887,4777,93420,null,null,93420
93454,8600000US93454,57573,4578,93454,null,null,93454
93458,8600000US93458,49426,3418,93458,null,null,93458
93461,8600000US93461,58214,8530,93461,null,null,93461
93536,8600000US93536,72634,2790,93536,null,null,93536
93546,8600000US93546,63848,11513,93546,null,null,93546
93591,8600000US93591,44487,2624,93591,null,null,93591
93609,8600000US93609,44068,7725,93609,null,null,93609
93616,8600000US93616,31448,1508,93616,null,null,93616
93618,8600000US93618,41003,2957,93618,null,null,93618
93626,8600000US93626,83958,24877,93626,null,null,93626
