Property Name,External URL,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Dollar General,https://www.crexi.com/properties/320153/pennsylvania-dollar-general#,On-Market,Retail,3414 W Roy Furman Hwy,Waynesburg,PA,15370,Single,,12.6,9026,$168.96 ,1,,"$101,376.00 ",6.65%,"$1,525,000.00 ",No
Dollar General,https://www.crexi.com/properties/517789/south-carolina-dollar-general#,On-Market,Retail,623 S Main St,Marion,SC,29571,Single,15,8,9026,$138.16 ,,,"$82,272.00 ",6.60%,"$1,247,000.00 ",Yes
Dollar General,https://www.crexi.com/properties/490460/new-jersey-dollar-general-fastenal#,On-Market,Retail,919 Burlington Pike,Burlington,NJ,8016,Multi,10,9.7,16440,$149.64 ,,,"$159,853.00 ",6.50%,"$2,460,000.00 ",No
Dollar General,https://www.crexi.com/properties/337299/arkansas-dollar-general#,On-Market,Retail,2549 AR-9,Morrilton,AR,72110,Single,15.1,11.7,9100,$130.22 ,1,,"$78,756.00 ",6.65%,"$1,185,000.00 ",No
"Dollar General - Hephzibah, GA",https://www.crexi.com/properties/450217/georgia-dollar-general---hephzibah-ga#,On-Market,Retail,2489 Tobacco Rd,Hephzibah,GA,30815,Single,20,2.7,9100,$90.11 ,,,"$61,500.00 ",7.50%,"$820,000.00 ",No
"Dollar General - Leesburg, FL",https://www.crexi.com/properties/519241/florida-dollar-general#,On-Market,Retail,3356 W Main St,Leesburg,FL,34748,Single,,9.3,9014,$95.09 ,,,"$60,000.00 ",7.00%,"$857,143.00 ",No
"Dollar General - Oakwood, GA",https://www.crexi.com/properties/450191/georgia-dollar-general---oakwood-ga#,On-Market,Retail,4621 McEver Rd,Oakwood,GA,30566,Single,20,2.7,9100,$94.73 ,1,,"$64,620.00 ",7.50%,"$862,000.00 ",No
"Dollar General - Tennga, GA",https://www.crexi.com/properties/460075/georgia-dollar-general#,On-Market,Retail,14 Pine St N,Tennga,GA,30711,Single,,8.7,9014,$82.87 ,,,"$52,290.00 ",7.00%,"$747,000.00 ",No
"Dollar General - Douglas, GA",https://www.crexi.com/properties/524116/georgia-dollar-general#,On-Market,Retail,4074 Willacoochee Hwy,Douglas,GA,31535,Single,15.1,9.2,9100,$129.81 ,,,"$76,781.00 ",6.50%,"$1,181,247.00 ",Yes
Dollar General,https://www.crexi.com/properties/521750/rhode-island-dollar-general#,On-Market,Retail,567 Main Rd,Tiverton,RI,2878,Single,,4.1,,,,,"$150,000.00 ",7.14%,"$2,100,000.00 ",No
Family Dollar,https://www.crexi.com/properties/310859/louisiana-family-dollar#,On-Market,Retail,911 1st Avenue,Kinder,LA,70648,Single,15,9.7,9180,$134.72 ,,,"$92,757.00 ",7.50%,"$1,236,760.00 ",No
