Property Name,External URL,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
Family Dollar,https://www.crexi.com/properties/510043/illinois-family-dollar#,On-Market,Retail,6101 N 2nd St,Loves Park,IL,61111,N/A,,,8302,$203.40 ,,,"$115,673.00 ",6.85%,"$1,688,656.00 ",No
Family Dollar,https://www.crexi.com/properties/428550/michigan-family-dollar#,On-Market,Retail,19160 Greenfield Rd,Detroit,MI,48235,Single,10,8.7,11057,$108.53 ,,,"$82,000.00 ",6.83%,"$1,200,000.00 ",No
1509 W Allegheny Ave,https://www.crexi.com/properties/489542/pennsylvania-1509-w-allegheny-ave#,On-Market,Multifamily,1509 W Allegheny Ave,Philadelphia,PA,19132,N/A,,,3412,$124.56 ,6,"$70,833.33 ",,10.40%,"$425,000.00 ",Yes
Blue Bell Properties Portfolio,https://www.crexi.com/properties/521513/pennsylvania-blue-bell-properties-portfolio#,On-Market,Multifamily,414 Pawnee St,Bethlehem,PA,18015,N/A,,,8472,$152.27 ,12,"$107,500.00 ","$95,351.00 ",7.39%,"$1,290,000.00 ",No
Family Dollar,https://www.crexi.com/properties/310859/louisiana-family-dollar#,On-Market,Retail,911 1st Avenue,Kinder,LA,70648,Single,15,9.7,9180,$134.72 ,,,"$92,757.00 ",7.50%,"$1,236,760.00 ",No
Family Dollar,https://www.crexi.com/properties/316155/west-virginia-family-dollar#,On-Market,Retail,1566 Mountaineer Highway,Bradshaw,WV,24817,Single,10,7.5,8320,$130.44 ,,,"$89,534.00 ",8.25%,"$1,085,262.00 ",No
Family Dollar,https://www.crexi.com/properties/348850/pennsylvania-family-dollar-dollar-general#,On-Market,Retail,435 E Center St,Bourbon,IN,46504,Single,,2.5,8500,$65.88 ,,,,12.00%,"$560,000.00 ",No
Family Dollar,https://www.crexi.com/properties/332512/texas-family-dollar#,On-Market,Retail,503 S MacArthur Blvd,Irving,TX,75060,Single,20.2,3,8000,$112.38 ,1,,"$61,600.00 ",6.85%,"$899,000.00 ",No
Family Dollar,https://www.crexi.com/properties/280505/michigan-family-dollar#,On-Market,Retail,8321 Mill St,Vanderbilt,MI,49795,Single,,8.2,8320,$119.71 ,,,"$73,189.00 ",7.35%,"$996,000.00 ",No
Family Dollar,https://www.crexi.com/properties/406834/ohio-family-dollar#,On-Market,Retail,1750 S. Main Street,Akron,OH,44301,Single,,4,6750,$111.85 ,,,"$68,000.00 ",9.01%,"$755,000.00 ",Yes
