Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Opportunity Zone
WellNow Urgent Care,On-Market,Retail,3929 Vineyard Dr,Dunkirk,NY,14048,Single,,8.9,,,,,"$145,250.00 ",6.75%,"$2,151,852.00 ",No
WellNow Urgent Care,On-Market,Retail,2232 Lyell Ave,Rochester,NY,14606,Single,10,9,3500,$638.46 ,,,"$145,250.00 ",6.50%,"$2,234,616.00 ",No
Atrium Health Urgent Care,On-Market,Office,3179 W Hwy 74,Monroe,NC,28110,Single,7,6.9,7243,$440.70 ,1,,"$183,538.00 ",5.75%,"$3,191,965.00 ",No
HealthCARE Express,On-Market,Office,125 Arkansas Blvd,Texarkana,AR,71854,Single,,14.7,4223,$438.08 ,1,,"$120,000.00 ",6.50%,"$1,850,000.00 ",No
AFC Urgent Care Cotswold,On-Market,Retail,4116 Monroe Rd,Charlotte,NC,28205,Single,,9.8,3725,$703.09 ,1,,"$144,000.00 ",5.50%,"$2,619,000.00 ",No
"Exxon-Flippin, AR",On-Market,Retail,703 E Main St,Flippin,AR,72634,Single,,,2240,$535.71 ,1,,"$81,000.00 ",6.75%,"$1,200,000.00 ",No
HealthCARE Express,On-Market,Retail,4526 Northport Blvd,Shreveport,LA,71107,Single,,14.3,3678,,1,,"$152,100.00 ",7.00%,"$2,173,000.00 ",No
HealthCARE Express,On-Market,Office,1004 S Jefferson Ave,Mount Pleasant,TX,75455,Single,15,14.3,3523,$584.16 ,,,"$144,000.00 ",7.00%,"$2,058,000.00 ",No
Hulin Health,On-Market,Office,6420 Groom Rd,Baker,LA,70714,Single,15,14.7,3750,$423.47 ,,,"$103,224.00 ",6.50%,"$1,588,000.00 ",No
HealthCARE Express,On-Market,Office,1554 Country Club Rd,Sherwood,AR,72120,Single,15,14.3,3523,$632.70 ,1,,"$144,000.00 ",7.00%,"$2,229,000.00 ",No
Fast Pace Health,On-Market,Office,184 Tennessee Ave N,Parsons,TN,38363,Single,12,9.6,3600,$342.17 ,,,"$89,303.00 ",7.25%,"$1,231,800.00 ",No
"GuideWell Emergency Doctors  Tampa, FL",On-Market,Office,2330 E Fletcher Ave,Tampa,FL,33612,Single,,10,9438,$495.66 ,,,"$268,983.00 ",5.75%,"$4,678,000.00 ",No
856 Landis Ave,On-Market,Retail,856 Landis Ave,Pittsgrove Township,NJ,8318,Multi,,,80000,$15.62 ,,,,,"$1,250,000.00 ",No
NextCare Urgent Care  Vacant Suite,On-Market,Retail,8101 N 19th Ave,Phoenix,AZ,85021,Single,,,7000,,,,"$74,612.00 ",5.00%,"$1,492,000.00 ",No
"NNN  Charlotte, NC  10 Years  7.01 Cap",On-Market,Retail,3309 Faith Church Rd,Indian Trail,NC,28079,Single,10.2,9.9,11256,$320.72 ,,,"$252,520.00 ",7.00%,"$3,610,000.00 ",No
PRESTIGE PRESCHOOL ACADEMY - FONTANA CA,On-Market,Retail,16427 Sierra Lakes Pkwy,Fontana,CA,92336,Single,15,15,10800,$592.59 ,,,"$384,000.00 ",6.00%,"$6,400,000.00 ",No
Urgent Care  Frisco,On-Market,Retail,5649 Lebanon Rd,Frisco,TX,75034,Single,,,6000,$598.33 ,,,,,"$3,590,000.00 ",No
Concentra Urgent Care,On-Market,Office,215 N 35th St,Milwaukee,WI,53208,Multi,20,4,10350,$113.92 ,,,"$88,431.00 ",7.50%,"$1,179,080.00 ",No
Our Urgent Care,On-Market,Office,2893 Veterans Memorial Pkwy,St Charles,MO,63301,Single,10,6.1,5159,$296.30 ,,,"$103,180.00 ",6.75%,"$1,528,593.00 ",No
